timestamp,date,time,client_ip,country,method,uri_stem,status_code,user_agent,sales_rep,product,cost,users,conversion,time_to_convert,industry,job_type,customer_type,device_type,session_duration,pages_per_visit,os,browser_version,network_type,screen_resolution,bounce_rate,lead_source,funnel_stage,ai_interaction_depth,ai_success_rate,ai_query_type,feedback_rating,data_complete,country_code
2025-04-16T10:28:01.036701,2025-04-16,10:28:01,147.93.9.85,US,GET,/submit_job/engineering,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 5.1; Trident/3.1),No Representative,AI Virtual Assistant,855.73,42,False,-1.0,Tech,engineering,New Visitor,Mobile,464,7,Windows,Chrome 102.0.2581.0,Wi-Fi,1920x1080,False,Referral,Decision,0.0,0.0,N/A,-1.0,True,United States
2025-01-14T07:40:43.387756,2025-01-14,07:40:43,33.171.52.20,IN,GET,/request_demo,200,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_3 rv:4.0; bn-IN) AppleWebKit/533.4.6 (KHTML, like Gecko) Version/4.1 Safari/533.4.6",No Representative,DEX Analytics Platform,2281.49,54,False,-1.0,Healthcare,,Returning Visitor,Mobile,855,5,Windows,Chrome 106.0.3090.0,Fiber,1440x900,False,Paid Ads,Decision,0.0,0.0,N/A,-1.0,False,India
2024-12-27T01:35:07.854151,2024-12-27,01:35:07,74.101.131.247,DE,GET,/pricing,200,Mozilla/5.0 (compatible; MSIE 5.0; Windows 98; Trident/4.0),Emily Rodriguez,AI Virtual Assistant,616.32,49,False,-1.0,Tech,,Returning Visitor,Tablet,177,5,Windows,Chrome 85.0.4026.0,Cellular,1440x900,False,Direct,Consideration,0.0,0.0,N/A,-1.0,True,Germany
2024-12-06T12:20:51.746174,2024-12-06,12:20:51,167.115.85.54,DE,GET,/pricing,200,Mozilla/5.0 (Windows NT 10.0; gu-IN; rv:1.9.0.20) Gecko/8735-07-30 09:10:10 Firefox/3.6.5,Emily Rodriguez,AI Virtual Assistant,759.9,62,False,-1.0,Tech,,New Visitor,Desktop,306,2,Windows,Chrome 100.0.1590.0,Fiber,1920x1080,False,Referral,Consideration,0.0,0.0,N/A,-1.0,True,Germany
2025-03-29T03:27:36.463446,2025-03-29,03:27:36,217.7.110.105,CN,GET,/pricing,200,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 5.01; Trident/3.0),Michael Chen,AI-Powered Troubleshooting,937.42,50,False,-1.0,Education,,New Visitor,Desktop,226,2,macOS,Chrome 109.0.4620.0,Fiber,2560x1440,False,Paid Ads,Consideration,0.0,0.0,N/A,-1.0,True,China
2025-05-10T21:48:47.234493,2025-05-10,21:48:47,24.60.67.202,CA,GET,/contact,200,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10_12_2 rv:4.0; nl-NL) AppleWebKit/535.8.2 (KHTML, like Gecko) Version/5.1 Safari/535.8.2",David Kim,Rapid Prototyping Suite,749.71,53,True,9.0,Manufacturing,,Returning Visitor,Mobile,13,9,macOS,Chrome 82.0.2091.0,Cellular,2560x1440,False,Organic Search,Decision,0.0,0.0,N/A,-1.0,True,Canada
2025-05-08T17:00:08.701969,2025-05-08,17:00:08,3.19.179.94,GB,POST,/submit_job/prototyping,200,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/3.0),No Representative,AI Virtual Assistant,625.01,52,False,-1.0,Tech,engineering,Returning Visitor,Desktop,47,2,macOS,Chrome 114.0.1733.0,Cellular,1440x900,False,Organic Search,Decision,0.0,0.0,N/A,-1.0,True,United Kingdom
2025-05-16T12:03:08.138609,2025-05-16,12:03:08,215.128.46.64,GB,GET,/request_demo,200,"Mozilla/5.0 (iPad; CPU iPad OS 17_4 like Mac OS X) AppleWebKit/531.1 (KHTML, like Gecko) CriOS/41.0.832.0 Mobile/34C173 Safari/531.1",Emily Rodriguez,AI Virtual Assistant,523.52,51,False,-1.0,Tech,,New Visitor,Desktop,69,6,Android,Chrome 86.0.4440.0,Wi-Fi,1440x900,False,Paid Ads,Decision,0.0,0.0,N/A,-1.0,True,United Kingdom
2025-01-20T00:16:18.730769,2025-01-20,00:16:18,191.3.206.60,BW,GET,/submit_job/design,200,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/60.0.817.0 Safari/535.1",No Representative,AI-Powered Troubleshooting,944.79,55,False,-1.0,Healthcare,prototyping,New Visitor,Desktop,702,2,Windows,Chrome 93.0.3398.0,Cellular,1920x1080,False,Paid Ads,Awareness,0.0,0.0,N/A,-1.0,True,Botswana
2025-03-28T12:21:17.995006,2025-03-28,12:21:17,23.212.100.99,US,GET,/contact,200,Mozilla/5.0 (X11; Linux x86_64; rv:1.9.7.20) Gecko/7216-12-18 16:47:40 Firefox/15.0,David Kim,AI-Powered Troubleshooting,1057.66,53,True,25.0,Tech,,Returning Visitor,Desktop,338,10,Android,Chrome 94.0.4437.0,Cellular,1440x900,False,Paid Ads,Decision,0.0,0.0,N/A,-1.0,True,United States
